cue	سرنخ - سرنخ دادن
express	بیان کردن - سریع
crop	محصول
context	مفهوم - محتوا
controversy	بحث - مجادله - debate
heredity	وراثت
infant	نوزاد
infancy	دوران نوزادی
substantial	زیاد - considerable
revive	احیا کردن - جان دوباره دادن
attribute	نسبت دادن - ویژگی
yield	تولید کردن - ثمر دادن - تسلیم شدن
overwhelm	غرق شدن - غرق کردن
cite	نقل قول کردن - استناد کردن
comprehend	درک کردن - فهمیدن
attitude	گرایش - رویکرد
mimic	تقلید کردن - imitate
mimicry	تقلید
sting	نیش - نیش زدن - ایجاد سوزش کردن
associate	ربط دادن (چیزی) به - به هم پیوستن - همراه شدن
trait	خصلت
zoology	جانور شناسی
alike	خیلی شبیه - همانند
resemble	شبیه بودن به - look like
butterfly	پروانه
wasp	زنبور زرد
moth	شب پره
mouth	دهان
mouse	موش
species	گونه
specimen	نمونه - sample - instance
nasty	ناخوشایند - unpleasant
astonish	شگفت زده کردن - متحیر کردن - amaze
swallow	قورت دادن - بلعیدن - پرستو
marking	علامت گذاری کردن - تصحیح اوراق امتحانی - الگوی نقش روی حیوانات
monarch	حاکم - پادشاه یا ملکه
bundle	دسته - پشته - دسته کردن
hypothesize	فرضیه دادن
scent	رد - رد پا - بو - عطر
stationary	ایستا - ساکن - بدون تغییر - static
foul	کثیف و بد بو - خطا کردن در ورزش
smell	بو - بو دادن - بو کردن - بو (ی چیزی را) تشخیص دادن
odor (odour)	بو - smell
distract	حواس (کسی را) پرت کردن
suppress	سرکوب کردن - توقیف کردن
citation	نقل قول - استناد
pace	سرعت - سرعت بخشیدن - قدم - قدم زدن
curious	کنجکاو - عجیب و غریب
spur	سیخ زدن - مهمیز - motivate
thereby	بدین وسیله
republican	جمهوری خواه
conservative	محافظه کار
royalist	سلطنت طلب - monarchist
accompany	همراه بودن (با)
deficit	کسری
influential	دارای نفود و قدرت - موثر
align	هم تراز کردن - تنظیم کردن
insist	اصرار کردن - پافشاری کردن
fiscal	مالی - مالیاتی
advocate	دفاع کردن - طرفداری کردن - حمایت کردن
laureate	برنده یک جایزه رسمی
beetle	(گونه ای) سوسک
stinger	sting - نیش
analogy	تمثیل - مقایسه
thief (pl. thieves)	دزد
synthesize	ترکیب کردن - آمیختن - combine
solicit	درخواست کردن - ask for
convenient	راحت - مناسب
resolve	حل شدن - حل کردن - به تصمیم رسیدن
oppose	مخالفت کردن
recreation	سرگرمی - تفریح
point out	mention
contradict	مخالف بودن - رد کردن
omission	حذف
entrepreneur	سرمايه گذار - کارآفرین
evident	واضح - آشکار - obvious
acquire	با تلاش به دست آوردن
refine	تصحیح کردن - تصفیه کردن
nonsense	بی معنی - چرند - رفتار احمقانه
acquisition	اکتساب - به دست آوری
sort out	arranging - organizing
due	زمان مقرر - موعد (پرداخت) - سر رسید
interest	بهره (پول) - علاقه
expenses	مخارج
pay check	چک حقوق - pay cheque
irrigate	آبیاری کردن
ditch	جوی - نهر
valve	دریچه - شیر فلکه
sprinkler	آب پاش
elicit	to get information or a reaction from sb,  often with difficulty
evaporate	تبخیر شدن - کم کم محو شدن
anticipate	پیش بینی کردن - انتظار داشتن
hesitate	مردد بودن - مطمئن نبودن
chronology	واقعه نگاری (به ترتیب زمانی)
slip	خطای کوچک - لیز خوردن
anxious	نگران - دلواپس - worried
fulfil	satisfy - achieve
fulfillment	satisfication - achievement
notion	تصور - باور
obstacle	مانع
hurdle	مانع - پریدن از مانع
repress	سرکوب کردن - کنترل کردن
manifest	آشکار - clear - list
reveal	نمایش دادن - افشا کردن - display
latent	نهفته
unconscious	بی هوش - نا آگاه
subconscious	نیمه هشیار - نیمه آگاه
recall	recollect - to remember sth
firing	شلیک
posit	فرض کردن - assume
chase	تعقیب کردن - دنبال کردن
proponent	دفاع کردن - طرفداری کردن - advocate
nebula	سحابی
solar system	منظومه شمسی
asteroid	خرده سیاره - سیارک
comet	ستاره دنباله دار
astronomy	ستاره شناسی
collide	تصادم کردن - به هم خوردن
disintegrate	تجزیه کردن - متلاشی شدن
condense	متراکم کردن - غلیظ کردن
swirl	(به سرعت) چرخیدن
distinct	متفاوت - مجزا - مشخص
indistinct	نامشخص - vague
retain	نگه داشتن - حفظ کردن - preserve
plane	سطح تراز - مسطح - هواپیما
temptation	وسوسه
inhibit	جلوگیری کردن - منع کردن
prohibit	forbid - prevent
consensus	اتفاق نظر - اجماع
tolerate	تحمل کردن
desire	میل داشتن - میل
commodity	محصول - کالا - ماده اولیه
conversely	بالعکس
imply	غیر مستقیم بیان کردن
eliminate	حذف کردن - کنار گذاشتن
persuade	convince - متقاعد کردن
crucial	تعیین کننده - essential - critical
resort	تفریح گاه - چاره - متوسل شدن
herd	گله - گروهی حرکت کردن
sob	گریه صدا دار کردن
apparent	واضح - آشکار - obvious
spectator	تماشاچی (یک نفر)
audience	تماشاگران یا شنوندگان
bear	تحمل کردن - مسئول (چیزی) بودن - خرس
concede	پذیرفتن (واقعیت، منطق، شکست و . . .)
motion	جنبش - حرکت
enlighten	روشن و آگاه کردن
enlightenment	روشن فکری - روشن گری
settlement	توافق رسمی - محل اسکان
relativity	فرضیه نسبیت - نسبی بودن
appreciation	قدردانی - ترقی
anthropology	انسان شناسی
geology	زمین شناسی
mosaic	موزاییک - تکه تکه کنار هم قرار دادن
light year	سال نوری
demogrophy	جمعیت شناسی
marshland	مرداب - باتلاق
igneous	آتشفشانی - متشکل از ماگما
adobe	خشت خام
reptile	(حیوان) خزنده
amphibian	دو زیست
lounge	اتاق استراحت (در فرودگاه)
concession	تصدیق و تایید
outline	ارایه طرح کلی - نمای کلی بیرونی
endanger	به مخاطره انداختن
esthetic / aesthetic	زیبایی شناختی
justification	توجیه
carrier	حامل - باربر
assert	قاطعانه اظهار یا ادعا کردن
variety	تنوع - diversity
on the contrary	بر عکس
dominant	مسلط - غالب
texture	بافت - طرز قرار گرفتن اجزا کنار هم
sacred	مقدس
saturation	اشباع
continent	قاره
colloquial	محاوره ای - informal
prevalent	متداول - مرسوم - common
evolve into	به تدریج توسعه یافتن به
designate	معین کردن
continuum	ذنجیره (ای از چیزها)
cross	شکل ضربدر - شکل صلیب - عبور کردن
cross out/through	خط کشیدن دور یک کلمه (به دلیل اشتباه بودن)
sociology	جامعه شناسی
involuntary	غیر ارادی - نا خواسته
strain	فشار - تحت فشار قرار دادن
grade	درجه - رتبه - رتبه بندی کردن - نمره دادن
perennial	طولانی مدت - چند ساله
shrub	درختچه
typography	فن چاپ
cultivate	کشت کردن
particle	ذره
instinct	غریزه
cognitive	شناختی
incentive	مشوق - محرک
altitude	ارتفاع (از سطح دریا)
lightning	صاعقه
peripheral	کم اهمیت - پیرامونی
crust	پوسته - لایه رویی
stem	ساقه
marine	دریایی
grain	دانه - غلات
cleavage	شکاف و فاصله دو چیز
lustrous	صاف و براق - پر زرق و برق
ornamental	تزئینی - decorative
undercoat	لایه زیری
cleric	کشیش - روحانی
revolve	دور زدن - دور چیزی گشتن
recuperate	بهبود یافتن - recover
embrace	در آغوش گرفتن - شامل شدن
inevitable	اجتناب ناپذیر - ناچار
tendency	گرایش - تمایل
expel	اخراج کردن - به زور بیرون کردن
offense / offence	تخلف - دلخوری - حمله
master	آقا - فرد ماهر - یاد گرفتن به صورت حرفه ای
inquisitive	کنجکاو - curious
prudent	محتاط - careful
commence	begin - start
conserve	با صرفه جویی مصرف کردن - کنسرو - محفوظ نگه داشتن
regard	در نظر گرفتن - consider
trustworthy	reliable
skyscraper	آسمان خراش
vertebrate	مهره دار
brilliant	خفن - very bright
vivid	bright - واضح و روشن
preliminary	initial
sketch	طرح اولیه - گزارش اولیه
extensive	فراوان - وسیع - گسترده
solution	محلول - راه حل
sour	ترش - ترشیده - ترشیدن
vinegar	سرکه
dissolve	حل شدن یا حل کردن (در حلال) - آب کردن
attain	به دست آوردن - رسیدن به
mentor	مربی - مرشد
clue	سرنخ (حل مساله)
convey	حمل کردن - انتقال دادن - رساندن
detract from	از خوبی چیزی کاستن
merely	only - simply
refute	رد کردن - (خلاف چیزی را) اثبات کردن
reservoir	مخزن - دریاچه (منبع آب) - ذخیره
brackish	شور و بد مزه
slope	شیب - شیب داشتن
basin / washbasin	لگن - حوضچه
well	چاه - خوب - راحت
furrow	شیار - چین و چروک
strip	برهنه کردن - قطعه باریک - undress
cast	ریخته گری - لیست بازیگران
drip	چکه کردن
precision	دقت - درستی
cornea	قرنیه
dome	برآمدگی - گنبد
iris	عنبیه
retina	شبکیه (چشم)
deficiency	کمبود - shortage
treatment	معالجه - درمان - رفتار
ointment	پماد
fist	مشت
ulcer	زخم (غشایی یا پوستی)
scar	جای زخم - جراحت روحی
transplant	پیوند عضو انجام دادن
implant	کاشتن
bloodshot	سرخ و ورم کرده
blur	محو کردن - کدر کردن - مات کردن
inflammation	التهاب
outermost	بیرونی ترین
innermost	داخلی ترین
severe	شدید - خیلی بد - harsh
impair	آسیب زدن - معیوب کردن
prune	هرس کردن
vigorous	پر نیرو - پر توان
foliage	شاخ و برگ
sprout	جوانه - جوانه زدن
utilitarian	فایده گرا
inspire	الهام بخشیدن - اطمینان یا علاقه درونی ایجاد کردن
boom	جهش و توسعه سریع - دوران رونق - ترقی کردن
elegance	زیبایی - ظرافت
limb	اندام حرکتی
intense	خیلی زیاد - شدید
decay	پوسیدگی - پوسیدن - کم کم از بین رفتن
descend	پایین رفتن - fall
spring	چشمه - بهار - فنر - جَستن
geyser	چشمه آب گرم
aboriginal	بومی - native
cleanse	پاک کردن - تمیز کردن
neutral	بی طرف - خنثی - unbiased - impartial
tribe	قبیله - طایفه
illustrate	مصور کردن - با مثال روشن کردن
plateau	فلات - وضع ثابت
sediment	رسوب
cliff	صخره - پرتگاه
exotic	غیر بومی و عجیب و غریب
circus	سیرک
tissue	بافت - دستمال کاغذی
outweigh	چربیدن - برتری داشتن
tale	داستان (تخیلی)
folk	محلی - مردم - جماعت
molten	مذاب
erupt	فوران کردن
chamber	اتاق (مخصوص) - حفره
fur	خز - مو
timber	چوب نجاری - الوار
habitat	زیست گاه
predator	حیوان شکارگر
laughter	خنده
humorist	شوخ طبع
herb	گیاه (خوراکی، دارویی، یا معطر)
poverty	فقر
electorate	رای دهنده گان - voters
prominent	برجسته - سرشناس
domesticate	خانگی کردن - اهلی کردن - کشت کردن
thrive	رونق داشتن - شکوفا شدن - flourish
alongside	در کنار - دوشادوش
throat	گلو
compassion	دلسوزی - ترحم
forgiveness	بخشش
cruel	ظالم - بی رحم
homestead	خانه مزرعه ای
log	کنده - هیزم - دفتر ثبت وقایع
clutter	خرت و پرت به هم ریخته - mess
shed	سوله - آلونک - پوست اندازی کردن
depict	به تصویر کشیدن - توصیف کردن
harbor	لنگرگاه
praise	تحسین کردن - ستایش کردن - Admire
orthodox	متعارف - ارتدکس
faith	اعتماد - اعتقاد - ایمان
scrutiny	بررسی دقیق - inspection
distort	از شکل طبیعی خارج کردن - کج و معوج کردن - تحریف کردن
beware	مواظب بودن - بر حذر بودن
endure	تحمل کردن - دوام آوردن - bear
enduring	با دوام
masterpiece	شاهکار هنری
witty	سرگرم کننده - شوخ طبع
cherish	به شدت دوست داشتن - گرامی داشتن
idyllic	زیبا و کامل
folly	حماقت - نادانی
satire	هجو
intimately	صمیمانه
uphold	حمایت کردن - پاسداری کردن
arbitrator	میانجی
relay	رله کردن - رله
companionship	مصاحبت - همراهی
millennium	هزاره
societal	اجتماعی
blizzard	کولاک
drought	خشکسالی
foremost	مهمترین - مشهورترین
instigate	استارت (چیزی را) زدن - تحریک کردن
obsession	فکر دایمی - وسواس
novelty	تازگی
affluent	rich - wealthy - prosperous
wrist watch	ساعت مچی
prevail	مرسوم شدن - قانع شدن - چیره شدن
stagnation	رکود - کسادی
masterful	با استادی
alertness	مواظبت - هوشیاری
blend	مخلوط - مخلوط کردن
debris	باقی مانده (یک چیز خرد و نابود شده) - ضایعات
deposit	پول به حساب گذاشتن - پیش پرداخت - پول رهن
glacier	یخچال طبیعی - کوه یخ
erosion	فرسایش
coarse	زبر - درشت - زمخت - rough
boulder	سنگ بزرگ (گرد شکل)
clay	خاک رس
retreat	عقب نشینی کردن - عقب نشینی
nomad	کوچ نشین - صحرا نشین
communal	اشتراکی - گروهی - shared
leap	جهش - پرش - پریدن
defy	مقابله کردن - چالش کردن
absurd	مزخرف - نامعقول - ridiculous
coincidence	هم زمانی - انطباق
reunion	گردهمایی - تجدید دیدار
exile	تبعید - تبعید شده
adversity	بدبختی - مشکلات
sorcerer	جادوگر
elbow	آرنج - زانویی - با آرنج زدن
measles	سرخک
acute	شدید و جدی - حاد
chronic	مزمن - قدیمی و کهنه - همیشگی
transmissible	قابل انتقال - مسری
cardiovascular	قلبی و عروقی
disorder	بی نظمی - نابسامانی - اختلال
remission	دوره بهبود بیماری - عفو
asthma	تنگی نفس - آسم
intestinal	روده ای
coal	زغال سنگ
dilute	رقیق کردن - آبکی کردن - ضعیف و کم اثر کردن
disperse	پراکنده شدن - پراکنده کردن - scatter
degrade	تنزل درجه دادن - کم ارزش کردن
revel	شادی کردن
princely	با شکوه - شاهانه
benevolent	خیر خواه
malevolent	بدخواه - malicious
ballad	شعر داستانی
medieval	قرون وسطایی
sage	دانا - با تجربه
inspiration	الهام - اطمینان یا علاقه درونی
superstation	خرافه - خرافه پرستی
streak	یک دوره موفق
